time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD-Q_Cout,CBZ_Cout,BTZ_Cout,SFX_Cout,FIP_Cout,HMMM_Cout,CAFF_Cout,Bromide_Min
8537.5,7.982629037511311e-06,7.982629037511311e-06,21.472828869621548,21.472828869621548,21.472828869621548,6.977387740948361,6.977387740948361,636.6559556945109,5.182233092816277,3542092507.1488285,0,0,74,1,0.02863419132236438,0.020517771598586493,0.011104351612406606,0.04638845550015454,0.00421893544584803,0.037912614676810084,0.0032413989480957963,0.014828548456694006,0.0
8538.0,7.991104287025621e-06,7.991104287025621e-06,21.471963909256406,21.471963909256406,21.471963909256406,6.974895657056294,6.974895657056294,636.5245530863183,5.1855826231674635,3542852359.8455186,0,0,74,1,0.02857202025700335,0.020339650923506283,0.010800886758566258,0.04643791034344656,0.0042408457809268085,0.037915474379082346,0.0032348018860557885,0.01450529241673363,0.0
8538.5,7.999456425553334e-06,7.999456425553334e-06,21.471100442230536,21.471100442230536,21.471100442230536,6.972398754019807,6.972398754019807,636.3923649041241,5.188947484254788,3543612321.2038975,0,0,74,1,0.02850988180804424,0.02016307706635111,0.01050005722415374,0.04648663626863858,0.004262534590995135,0.0379182831626305,0.00322826211356856,0.014184843564859433,0.0
8539.0,8.007685046809026e-06,8.007685046809026e-06,21.470238474008813,21.470238474008813,21.470238474008813,6.9698970994855225,6.9698970994855225,636.2593939729903,5.1923275347811435,3544372391.2317357,0,0,74,1,0.02844778148746012,0.019988092405694262,0.010201935209701342,0.04653463124773892,0.004283997679527856,0.03792104119537651,0.003221781200210899,0.013867278810334047,0.0
8539.5,8.01578974450729e-06,8.01578974450729e-06,21.46937801005609,21.46937801005609,21.46937801005609,6.967390761100063,6.967390761100063,636.1256431179786,5.195722633449424,3545132569.9368005,0,0,74,1,0.028385724807224046,0.019814739320109034,0.009906592915741322,0.04658189325275587,0.004305230849999817,0.03792374864524228,0.0032153607155595942,0.013552675062420104,0.0
8540.0,8.023770112362714e-06,8.023770112362714e-06,21.46851905583724,21.46851905583724,21.46851905583724,6.964879806510053,6.964879806510053,635.9911151641508,5.199132638962523,3545892857.3268614,0,0,74,1,0.02832371727930909,0.019643060188168714,0.009614102542805952,0.04662842025569775,0.004326229905885865,0.03792640568014979,0.0032090022291914344,0.013241109230380264,0.0
8540.5,8.031625744089877e-06,8.031625744089877e-06,21.467661616817125,21.467661616817125,21.467661616817125,6.962364303362112,6.962364303362112,635.8558129365687,5.202557410023331,3546653253.4096875,0,0,74,1,0.028261764415688315,0.01947309738844658,0.009324536291427515,0.04667421022857285,0.004346990650660844,0.03792901246802095,0.003202707310683207,0.012932658223477132,0.0
8541.0,8.039356233403369e-06,8.039356233403369e-06,21.4668056984606,21.4668056984606,21.4668056984606,6.959844319302867,6.959844319302867,635.7197392602942,5.205996805334741,3547413758.1930475,0,0,74,1,0.02819987172833479,0.019304893299515926,0.009037966362138244,0.046719261143389486,0.0043675088877996,0.03793156917677771,0.0031964775296117014,0.01262739895097336,0.0
8541.5,8.046961174017775e-06,8.046961174017775e-06,21.46595130623253,21.46595130623253,21.46595130623253,6.957319921978937,6.957319921978937,635.582896960389,5.2094506835996475,3548174371.6847105,0,0,74,1,0.028138044729221583,0.019138490299950045,0.00875446495547045,0.04676357097215594,0.00438778042077698,0.03793407597434202,0.0031903144555537055,0.012325408322131567,0.0
8542.0,8.054440159647682e-06,8.054440159647682e-06,21.465098445597782,21.465098445597782,21.465098445597782,6.954791179036948,6.954791179036948,635.4452888619151,5.212918903520941,3548935093.892446,0,0,74,1,0.028076288930321755,0.018973930768322222,0.008474104271956384,0.04680713768688053,0.00440780105306783,0.03793653302863581,0.003184219658086009,0.012026763246214406,0.0
